id,summaryId,date,durationInSeconds,startTimeInSeconds,startTimeOffsetInSeconds,activityType,averageHeartRateInBeatsPerMinute,averageRunCadenceInStepsPerMinut,averageSpeedInMetersPerSecond,averagePaceInMinutesPerKilometer,activeKilocalories,deviceName,distanceInMeters,maxHeartRateInBeatsPerMinute,maxPaceInMinutesPerKilometer,maxRunCadenceInStepsPerMinute,maxSpeedInMetersPerSecond,steps,new_id
1,4923764274,513,783,1589341916,28800,WALKING,111,110,0.7,23.809525,32,vivosmart4APAC,548.09,122,10.993843,118,1.516,1086,108_1
1,4929517095,514,920,1589448826,28800,WALKING,116,118,1.104,15.096619,43,vivosmart4APAC,1016.08,125,10.144045,124,1.643,1470,108_1
1,4929565157,514,862,1589449796,28800,WALKING,120,116,1.197,13.923698,38,vivosmart4APAC,1032.81,129,9.410878,132,1.771,1536,108_1
1,4945596766,517,787,1589715646,28800,WALKING,97,106,0.813,20.500206,44,vivosmart4APAC,640.22,105,11.337869,116,1.47,1192,108_1
11,4900132281,508,830,1588755525,28800,WALKING,101,114,0.985,16.920473,41,vivosmart4APAC,818.86,116,9.053051,144,1.841,1232,108_11
11,4900132594,508,800,1588818071,28800,WALKING,109,112,0.795,20.964361,40,vivosmart4APAC,636.92,127,10.957704,120,1.521,1136,108_11
11,4900132862,508,721,1588902560,28800,WALKING,110,112,1.258,13.248543,34,vivosmart4APAC,908.25,116,10.288066,130,1.62,1236,108_11
11,4900133199,508,938,1588924396,28800,WALKING,96,106,0.59,28.248589,40,vivosmart4APAC,553.66,113,8.955759,142,1.861,1268,108_11
11,4912150168,510,1291,1589004336,28800,WALKING,112,106,0.954,17.4703,65,vivosmart4APAC,1232.54,124,11.679514,120,1.427,1824,108_11
11,4912150854,510,1733,1589006833,28800,WALKING,118,102,0.871,19.135094,104,vivosmart4APAC,1510.14,155,8.283631,160,2.012,2320,108_11
11,4912151522,510,1876,1589020741,28800,WALKING,101,112,1.112,14.988009,87,vivosmart4APAC,2086.69,111,9.290226,142,1.794,2980,108_11
11,4912151855,510,658,1589097866,28800,WALKING,104,116,0.996,16.7336,32,vivosmart4APAC,655.74,114,8.837045,148,1.886,920,108_11
11,4912152305,510,801,1589103244,28800,WALKING,98,114,0.997,16.716818,36,vivosmart4APAC,798.99,107,10.615711,124,1.57,1168,108_11
11,4918504846,512,873,1589183705,28800,WALKING,100,120,1.025,16.260162,44,vivosmart4APAC,894.98,115,8.785803,148,1.897,1316,108_11
11,4918505032,512,1250,1589189102,28800,WALKING,94,108,0.996,16.7336,51,vivosmart4APAC,1246.03,104,11.534025,114,1.445,1748,108_11
11,4919656276,512,1323,1589274369,28800,WALKING,94,106,0.882,18.896446,56,vivosmart4APAC,1167.15,118,10.442774,138,1.596,2044,108_11
11,4919656542,512,726,1589277056,28800,WALKING,95,116,0.919,18.135654,34,vivosmart4APAC,667.34,103,10.822511,124,1.54,1100,108_11
11,4934866736,515,989,1589530692,28800,WALKING,99,114,0.981,16.989466,49,vivosmart4APAC,970.94,111,10.602205,124,1.572,1416,108_11
11,4937965697,516,3757,1589596932,28800,WALKING,142,112,1.269,13.1337,200,vivosmart4APAC,4769.96,171,10.162601,122,1.64,6742,108_11
11,4939628369,516,823,1589616362,28800,WALKING,94,112,0.97,17.18213,36,vivosmart4APAC,798.86,104,10.986597,120,1.517,1158,108_11
11,4946399835,517,897,1589710575,28800,WALKING,96,112,0.958,17.397356,41,vivosmart4APAC,859.81,112,11.314776,132,1.473,1294,108_11
